Cell_line,Dox,GFP
iN c5,0,3.36
iE c1,0,0.37
iE c10,0,2.38
iN c5,0,0.51
iE c1,0,0.6
iE c10,0,4.94
iN c5,0,3.22
iE c1,0,0.54
iE c10,0,1.74
iN c5,0,0.52
iE c1,0,1.31
iE c10,0,6.75
iN c5,0,0.92
iE c1,0,0.35
iE c10,0,1.18
iN c5,0,4.53
iE c1,0,0.89
iE c10,0,4.74
iN c5,1,42.4
iE c1,1,1.04
iE c10,1,21.1
iN c5,1,12.1
iE c1,1,6.18
iE c10,1,21.3
iN c5,1,10.6
iE c1,1,22.5
iE c10,1,23
iN c5,1,11.1
iE c1,1,38
iE c10,1,41.4
iN c5,1,62.3
iE c1,1,1.5
iE c10,1,27.2
iN c5,1,56
iE c1,1,35.7
iE c10,1,34.7
