Sample,transfection,Replicate,Dbl_pos
TgiN +dox,1,1,11.7
TgiE +dox,1,1,11.7
TgiN -dox,1,1,3.2
TgiE -dox,1,1,2.84
TgiN +dox,1,2,18.2
TgiE +dox,1,2,25.8
TgiN -dox,1,2,3.89
TgiE -dox,1,2,1.81
TgiN +dox,1,3,26.3
TgiE +dox,1,3,26
TgiN -dox,1,3,4.33
TgiE -dox,1,3,3.22
TgiN +dox,2,1,9.35
TgiE +dox,2,1,21.3
TgiN -dox,2,1,2.39
TgiE -dox,2,1,3.51
TgiN +dox,?,4,28.6
TgiE +dox,?,4,32.5
TgiN -dox,?,4,3.59
TgiE -dox,?,4,4.22
TgiN +dox,?,5,12.3
TgiE +dox,?,5,29.5
TgiN -dox,?,5,2.45
TgiE -dox,?,5,2.59
